organism,min_temp,max_temp,optimal_temp,min_pH,max_pH,optimum_ph,min_sal,max_sal,optimum_sal,motility,hidrocarbons,aerobiosis,anaerobiosis,gram,nitrate-red,source,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001416,,,,
Aeromonas jandaei,4,42,28,4.5,,8.5,0,3,,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02504-0,,,,,
Aeromonas allosaccharophila,4,42,,5,9,,0,3,,1,0,1,1,0,1,https://doi.org/10.1111/j.1574-6968.1992.tb05209.x,,,,,
Aeromonas caviae,5,42,,,,7,0,4,,1,0,1,1,0,,https://www.sciencedirect.com/science/article/pii/S0168160505000450,https://onlinelibrary.wiley.com/doi/abs/10.1002/jobm.3620350409,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC98495/,,,
Aeromonas molluscorum,4,37,27.5,5,9,7,0,3,,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63202-0,,,,,
Pseudomonas zhaodongensis,20,40,28,7,11,7,0,5,0,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000057,,,,,
Pseudomonas luteola,18,42,30,,,,0,6,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-36-2-161,,,,,
Shewanella algidipiscicola,4,37,25,,,,,6,,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64708-0,,,,,
Shewanella marisflavi,4,42,33.5,5,8,7.5,0,9,2.5,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63198-0,,,,,
Shewanella benthica,3,,,,,,,,,1,0,1,1,0,,https://www.sciencedirect.com/science/article/abs/pii/S0723202085800515?via%3Dihub,,,,,
Shewanella baltica,4,30,,,,,,,,1,0,1,1,0,,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-48-1-179,,,,,
Shewanella frigidimarina,-1,27.5,21,,,,0,8.5,,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-4-1040,,,,,
Shewanella denitrificans,4,30,22.5,5.7,7.8,7,0,6,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-6-2211,,,,,
Shewanella algae,,42,37,,,,,6,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-42-4-628,,,,,
Shewanella woodyi,4,25,17.5,,,,1.2093,5.248,2.9986,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-4-1034,,,,,
Shewanella halifaxensis,4,25,10,,,,0.5,4,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63829-0,,,,,
Shewanella amazonensis,4,45,35,6,9,7.5,0,3,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-48-3-965,,,,,
Enterovibrio pacificus,10,37,28,7,9,8,1,7,3.5,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.000721,,,,,
Grimontia indica,10,42,27.5,6,12,7,2,6,,1,0,1,1,0,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3897461/,,,,,
Enterovibrio calviensis,4,30,,,,,1.5,12,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-2-549,,,,,
Enterovibrio norvegicus,15,30,27.5,,,,0.5,7.5,2,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-6-2015,,,,,
Marinobacter flavimaris,4,45,37,5.5,8,7.5,2,20,4,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63151-0,,,,,
Halomonas alkaliantarctica,10,37,30,7.4,9.6,9,2.2,22.6,10,1,0,1,0,0,1,https://www.sciencedirect.com/science/article/pii/S072320200600049X?via%3Dihub,,,,,
Halomonas hydrothermalis,2,40,30,5,12,,0.5,22,5.5,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.02799-0,,,,,
Halomonas zhanjiangensis,4,40,27.5,6,10.5,7.5,1,20,4,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.010173-0,,,,,
Pseudomonas oceani,4,41,,6,10,,0,10,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001343,,,,,
Pseudomonas aestusnigri,18,42,27.5,6,10,,2,10,,1,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0723202013001562?via%3Dihub,,,,,
Pseudomonas fulva,4,37,,4,,,,,,1,0,1,0,0,0,https://doi.org/10.2323/jgam.47.247,,,,,
Pseudomonas putida,27,40,30,,,,,,,1,0,1,0,0,1,https://www.banglajol.info/index.php/SJM/article/view/26912,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7789669/,,,,
Octadecabacter arcticus,4,15,9.5,6.5,8.5,7.5,1.7,7,3.5,0,0,1,0,0,0,https://www.sciencedirect.com/science/article/pii/S0723202097800033,,,,,
Ruegeria atlantica,20,30,25,,,7.6,,,,0,0,1,0,0,1,https://www.jstage.jst.go.jp/article/jgam/44/3/44_3_201/_pdf,,,,,
Amylibacter sp900197625,10,30,22.5,6,10,8,1,5,3.25,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.065847-0,,,,,
Anderseniella sp900149695,10,37,27.5,6,9.5,7.25,0.8,6,2.25,0,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65007-0,,,,,
Kiloniella laminariae,4,40,25,3.5,9.5,5.5,0.3,10,3,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.001651-0,,,,,
Pseudomonas monteilii,10,36,30,,,,,3,,1,0,1,0,0,0,https://doi.org/10.1099/00207713-47-3-846,,,,,
Pseudomonas plecoglossicida,10,30,,5,9,7,0,5,2.5,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-1-83,,,,,
Oceanicoccus sagamiensis,10,30,17.5,5,9,7,1,5,3,1,0,1,0,0,1,https://link.springer.com/article/10.1007/s12275-011-0368-y,,,,,
Leisingera caerulea,4,45,24,6,9,7.25,2,5,3.5,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.002642-0,,,,,
Leisingera aquaemixtae,10,40,30,5.5,10,7.25,0.5,8,2,0,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.057646-0,,,,,
Roseovarius azorensis,15,40,30,7,9,7,0.5,7,3,1,0,1,0,0,1,https://link.springer.com/article/10.1007/s10482-013-0109-9,,,,,
Pseudoruegeria lutimaris,10,37,30,5,8,6.5,0.5,9,2,0,0,1,1,0,,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.015073-0,,,,,
Roseospirillum parvum,,,30,,,7.9,,6.5,1.5,1,0,0,1,0,0,https://link.springer.com/article/10.1007/s002030050727,,,,,
Pseudomonas deceptionensis,-4,34,20,5,10,7.5,0,6,3,1,0,1,1,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.024919-0,,,,,
Hydrogenophaga crassostreae,4,35,25,5,8.5,6.5,1,5,2,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002244,,,,,
Azoarcus toluclasticus,,,30,,,,,,,0,1,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-3-1129,,,,,
Azoarcus communis,,44,37,6,7.8,6.65,0,2,0,1,0,1,0,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-43-3-574,,,,,
Achromobacter pulmonis,,42,28,,,,0,6,3,0,0,1,1,0,0,https://www.sciencedirect.com/science/article/abs/pii/S0723202012001300?via%3Dihub,,,,,
Paraburkholderia fungorum,,41,30,6,7.5,7.5,0.5,5,,1,0,1,,0,1,https://www.researchgate.net/publication/11927741_Burkholderia_fungorum_sp_nov_and_Burkholderia_caledonica_sp_nov_two_new_species_isolated_from_the_environment_animals_and_human_clinical_samples,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5484655/,,,,
Shewanella pealeana,4,30,25,6,8,7,0,4.25,1.45,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-4-1341,,,,,
Shewanella sediminis,4,25,10,,,,1,4,2,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63604-0,,,,,
Janthinobacterium sp002127585,2,30,,5,,,,2,,1,0,1,0,0,0,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-4-1577,,,,,
Bordetella pertussis,4,,35,5,,,,,,0,0,1,,0,0,https://www.scielo.cl/scielo.php?pid=S0716-10182008000200005&script=sci_arttext,https://journals.asm.org/doi/abs/10.1128/jcm.26.9.1814-1817.1988,https://journals.asm.org/doi/full/10.1128/IAI.68.12.7039-7048.2000,,,
Alcaligenes aquatilis,4,35,21,,,,,,,1,0,1,1,0,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.63849-0,,,,,
